"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.31"," ","11,000","null","201904","5"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,790","2","201904","15"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","12,000","1","201905","2"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","10,500","null","201905","14"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","21.39"," ","10,000","null","201905","24"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,700","null","201905","28"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,800","3","201906","4"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","14.67"," ","13,200","3","201906","5"," ","2016"
"경기도 가평군 설악면 방일리","일반","2**","-","계획관리","제1종근린생활","12m미만","135.86","50.00","7,000","null","201906","12"," ","1962"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","12,700","null","201906","14"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.35"," ","9,500","4","201906","17"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","12,173","null","201906","20"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","10,300","null","201906","24"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","13,000","null","201906","25"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","14.67"," ","11,000","null","201906","25"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,300","null","201906","28"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,300","null","201907","8"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,000","null","201907","11"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,000","null","201907","18"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,000","null","201907","22"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.31"," ","9,500","null","201907","23"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","9,700","null","201907","23"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","14.67"," ","11,182","null","201907","24"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","9,700","null","201908","9"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,000","null","201908","9"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","12,000","null","201908","9"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","12,000","null","201908","13"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","25.15"," ","14,900","null","201908","20"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","8,900","null","201908","26"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","10,000","null","201908","26"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,500","null","201908","28"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","12,273","null","201908","29"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,500","null","201908","30"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","9,500","null","201909","4"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,500","null","201909","9"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","10,000","null","201909","10"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,500","null","201909","16"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,500","null","201909","17"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","22.67"," ","9,400","null","201909","18"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,852","null","201909","23"," ","2016"
