"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도"
"경기도 가평군 청평면 삼회리","일반","1**","북한강로","계획관리","제2종근린생활","8m미만","187.53","1876.00","123,000","null","201906","17"," ","2000"
"경기도 가평군 청평면 삼회리","일반","1**","북한강로","계획관리","제2종근린생활","12m미만","185.04","472.00","30,328","null","201910","25"," ","1989"
"경기도 가평군 청평면 상천리","일반","1**","경춘로","계획관리","숙박","12m미만","1496.91","777.00","83,000","null","201901","21"," ","2002"
"경기도 가평군 청평면 상천리","일반","1***","행자골길","계획관리","제2종근린생활","25m미만","27.44","64.25","3,000","null","201904","19"," ","2000"
"경기도 가평군 청평면 상천리","일반","1***","행자골길","계획관리","제2종근린생활","25m미만","27.44","64.25","4,000","null","201904","24"," ","2000"
"경기도 가평군 청평면 상천리","일반","1***","수리재길","보전관리","제2종근린생활","8m미만","66.3","148.00","7,400","null","201905","15"," ","1972"
"경기도 가평군 청평면 상천리","일반","1***","수리재길","보전관리","제2종근린생활","8m미만","312.9","279.00","14,600","null","201905","15"," ","1995"
"경기도 가평군 청평면 청평리","집합","3**","경춘로","제2종일반주거","제1종근린생활","25m미만","120.63"," ","5,505","3","201905","27"," ","1996"
"경기도 가평군 청평면 청평리","일반","4**","청평중앙로","일반상업","제1종근린생활","-","799.6","394.00","150,000","null","201906","26"," ","1993"
"경기도 가평군 청평면 청평리","일반","4**","여울길","일반상업","제1종근린생활","12m미만","462.89","286.00","57,500","null","201908","24"," ","1986"
