zip,violent crime,property crime
01853,,
01854,55.5,60.7
01855,,
01856,,
01857,,
01858,,
01859,,
01860,10.9,14.3
01861,,
01862,16.4,20.0
01863,19.6,25.2
01864,9.8,14.0
01865,,
01866,,
01867,10.0,14.3
01868,,
01869,,
01870,,
01871,,
01872,,
01873,,
01874,,
01875,,
01876,16.3,20.2
01877,,
01878,,
01879,12.1,16.0
01880,17.2,21.8
01881,,
01882,,
01883,,
01884,,
01885,,
01886,3.4,6.8
01887,11.9,15.6
01888,,
01889,,
01890,4.3,8.8
01891,,
01892,,
01893,,
01894,,
01895,,
01896,,
01897,,
01898,,
01899,,
01900,,
01901,62.0,63.7
01902,61.7,64.6
01903,,
01904,25.0,26.9
01905,52.1,54.6
01906,21.9,28.1
01907,14.5,20.5
01908,24.7,27.9
01909,,
01910,,
01911,,
01912,,
01913,25.9,28.0
01914,,
01915,24.5,30.6
01916,,
01917,,
01918,,
01919,,
01920,,
01921,5.0,3.2
01922,14.4,17.9
01923,23.3,31.6
01924,,
01925,,
01926,,
01927,,
01928,,
01929,13.2,19.1
01930,25.9,30.7
01931,,
01932,,
01933,,
01934,,
01935,,
01936,,
01937,,
01938,18.5,23.6
01939,,
01940,8.6,13.2
01941,,
01942,,
01943,,
01944,14.1,17.9
01945,11.9,16.9
01946,,
01947,,
01948,,
01949,15.9,19.7
01950,23.0,27.6
01951,13.0,16.9
01952,27.8,31.2
01953,,
01954,,
01955,,
01956,,
01957,,
01958,,
01959,,
01960,28.7,33.6
01961,,
01962,,
01963,,
01964,,
01965,,
01966,19.5,23.1
01967,,
01968,,
01969,12.6,16.5
01970,38.4,47.1
01971,,
01972,,
01973,,
01974,,
01975,,
01976,,
01977,,
01978,,
01979,,
01980,,
01981,,
01982,10.1,13.9
01983,3.1,5.3
01984,3.4,6.2
01985,4.1,6.8
01986,,
01987,,
01988,,
01989,,
01990,,
01991,,
01992,,
01993,,
01994,,
01995,,
01996,,
01997,,
01998,,
01999,,
02000,,
02001,,
02002,,
02003,,
02004,,
02005,,
